2026-04-21T21:15:02.036Z [INFO ] Logger started — level=info, dir=/Users/yuna/projects/meal-nutrition-app-v3/data/logs
2026-04-21T22:23:19.208Z [INFO ] GET /thumbs/1775971089580_en53gl0x11q.webp 200 23ms pid=-
2026-04-21T22:23:19.209Z [INFO ] GET /thumbs/1775631440043_w1lq8m7nctk.jpg 200 96ms pid=-
2026-04-21T22:23:19.210Z [INFO ] GET /thumbs/1775979512066_821kwer8j9o.png 200 26ms pid=-
2026-04-21T22:23:19.218Z [INFO ] GET /thumbs/1775974079130_logdjpmahmd.jpg 200 1ms pid=-
2026-04-21T22:23:19.224Z [INFO ] GET /thumbs/1775974787242_9m4j1owkh8.jpg 200 7ms pid=-
2026-04-21T22:23:19.225Z [INFO ] GET /thumbs/1775885349951_4txnyps4hkr.jpg 200 42ms pid=-
2026-04-21T22:23:19.225Z [INFO ] GET /thumbs/1775884192264_u9f3ykg5dti.jpg 200 110ms pid=-
2026-04-21T22:23:19.226Z [INFO ] GET /thumbs/1775883992094_dwsokcr6o29.jpg 200 57ms pid=-
2026-04-21T22:23:19.226Z [INFO ] GET /thumbs/1775976931667_uuywdk4dck.jpg 200 2ms pid=-
2026-04-21T22:23:19.242Z [INFO ] GET /thumbs/1775978079006_9x17o8l5y79.jpg 200 9ms pid=-
2026-04-21T22:23:19.250Z [INFO ] GET /thumbs/1776061447590_96cvqe9pav.png 200 17ms pid=-
2026-04-21T22:23:19.258Z [INFO ] GET /thumbs/1776039382273_u7sqzeip6x.png 200 25ms pid=-
2026-04-21T22:23:19.259Z [INFO ] GET /thumbs/1776671411826_2ypdlzdwlzh.png 200 2ms pid=-
2026-04-21T22:23:19.276Z [INFO ] GET /thumbs/1776061157311_1v7tze1k4tw.png 200 27ms pid=-
2026-04-21T22:23:19.276Z [INFO ] GET /thumbs/1776670497721_ea9iyvigxsj.png 200 8ms pid=-
2026-04-21T22:23:19.277Z [INFO ] GET /thumbs/1776110198502_4hv1gpoeftd.webp 200 1ms pid=-
2026-04-21T22:23:19.283Z [INFO ] GET /thumbs/1776145877082_i478wxsiqk9.jpg 200 1ms pid=-
2026-04-21T22:23:19.292Z [INFO ] GET /thumbs/1776671157367_zfdlqbblzfp.jpg 200 1ms pid=-
2026-04-21T22:23:19.309Z [INFO ] GET /thumbs/1776236916197_ezb3q6oulgb.jpg 200 9ms pid=-
2026-04-21T22:23:19.317Z [INFO ] GET /thumbs/1776318699426_7ihtclrbd2t.png 200 10ms pid=-
2026-04-21T22:23:19.360Z [INFO ] GET /thumbs/1776462195139_6gg025hew6e.jpg 200 3ms pid=-
2026-04-21T22:23:19.398Z [INFO ] GET /thumbs/1776670749611_r8d32p7evyg.webp 200 19ms pid=-
2026-04-21T22:23:19.418Z [INFO ] GET /thumbs/1776464298011_s2kpxdx3ad.jpg 200 22ms pid=-
2026-04-21T22:23:19.419Z [INFO ] GET /thumbs/1776465270575_b91umfknkpq.jpg 200 23ms pid=-
2026-04-21T22:23:19.424Z [INFO ] GET /thumbs/1776462505869_9jwng8vk5kg.jpg 200 63ms pid=-
2026-04-21T22:23:19.433Z [INFO ] GET /thumbs/1776462802176_dc26utr5mww.jpg 200 54ms pid=-
2026-04-21T22:23:19.447Z [INFO ] GET /thumbs/1776644826436_hbgn0yhoc2c.png 200 3ms pid=-
2026-04-21T22:23:19.472Z [INFO ] GET /thumbs/1776670386270_qafgekinkpn.png 200 28ms pid=-
2026-04-21T22:23:19.482Z [INFO ] GET /thumbs/1776464094203_61iq75zfu0y.jpg 200 86ms pid=-
2026-04-21T22:23:19.494Z [INFO ] GET /thumbs/1776670126618_vmqpdbus2c9.png 200 50ms pid=-
2026-04-21T22:23:19.495Z [INFO ] GET /thumbs/1776670228450_p6eas4bsb8.png 200 51ms pid=-
2026-04-21T22:23:19.495Z [INFO ] GET /thumbs/1776465484855_brr5ytqbt8j.jpg 200 78ms pid=-
